Priority,Category,File,Line,Current Header,Suggested Header,Issue,First Content
High,What is X?,docs/cloud/features/04_infrastructure/warehouses.md,20,What is compute-compute separation?,,Category: delayed_definition,Compute-compute separation is available for Scale and Enterprise tiers. Each ClickHouse Cloud service includes: - A group of two or more ClickHouse no
High,What is X?,docs/cloud/features/04_infrastructure/warehouses.md,51,What is a warehouse?,,Category: no_clear_definition,"In ClickHouse Cloud, a _warehouse_ is a set of services that share the same data. Each warehouse has a primary service (this service was created first"
High,What is X?,docs/cloud/features/09_AI_ML/langfuse.md,14,What is Langfuse?,,Category: no_clear_definition,"[Langfuse](https://langfuse.com) is an open-source LLM engineering platform that helps teams collaboratively debug, analyze, and iterate on their LLM "
High,What is X?,docs/cloud/guides/infrastructure/01_deployment_options/byoc/03_onboarding/01_standard.md,16,What is Standard Onboarding?,,Category: no_clear_definition,"**Standard onboarding** is the default, guided workflow for deploying ClickHouse in your own cloud account using BYOC. In this approach, ClickHouse Cl"
High,What is X?,docs/cloud/onboard/01_discover/01_what_is.md,10,What is ClickHouse Cloud?,,Category: no_clear_definition,"ClickHouse Cloud is a fully managed cloud service created by the original creators of ClickHouse, the fastest and most popular open-source columnar on"
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/01_real-time-analytics.md,18,What is real-time analytics?,,Category: no_clear_definition,Real-time analytics refers to data processing that delivers insights to end users and customers as soon as the data is generated. It differs from trad
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/02_observability.md,22,What is Observability?,,Category: no_clear_definition,"Observability is understanding a system's internal state by examining its outputs. In software systems, this means understanding what's happening insi"
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/03_data_warehousing.md,23,What are the components of the data lakehouse?,,Category: no_clear_definition,"The modern data lakehouse architecture represents a convergence of data warehouse and data lake technologies, combining the best aspects of both appro"
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/03_data_warehousing.md,49,What are the benefits of the data lakehouse?,,Category: no_clear_definition,The data lakehouse architecture offers several significant advantages when compared directly to both traditional data warehouses and data lakes:
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/04_machine_learning_and_genAI/02_agent_facing_analytics.md,19,"What are ""agents""?",,Category: no_clear_definition,"One can think of AI agents as digital assistants that have evolved beyond simple task execution (or function calling): they can understand context, ma"
High,What is X?,docs/cloud/onboard/02_migrate/01_migration_guides/08_other_methods/01_clickhouse-local-etl.md,34,What is clickhouse-local?,,Category: no_clear_definition,"Typically, ClickHouse is run in the form of a cluster, where several instances of the ClickHouse database engine are running in a distributed fashion "
High,What is X?,docs/cloud/reference/03_billing/01_billing_overview.md,180,What is a ClickHouse Credit (CHC)?,,Category: no_clear_definition,"A ClickHouse Credit is a unit of credit toward Customer's usage of ClickHouse Cloud equal to one (1) US dollar, to be applied based on ClickHouse's th"
High,What is X?,docs/cloud/reference/03_billing/02_marketplace/overview.md,57,"I subscribed to ClickHouse Cloud as a marketplace user, and then unsubscribed. Now I want to subscribe back, what is the process?​",,Category: no_clear_definition,In that case please subscribe to the ClickHouse Cloud as usual (see sections on subscribing to ClickHouse Cloud via the marketplace). - For AWS market
High,What is X?,docs/cloud/reference/03_billing/03_clickpipes/clickpipes_for_streaming_and_object_storage.md,28,What are ClickPipes replicas?,,Category: no_clear_definition,ClickPipes ingests data from remote data sources via a dedicated infrastructure that runs and scales independently of the ClickHouse Cloud service. Fo
